playbook;techniques
p208;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p20;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p210;[{'1': 'AccessModeling'}, {'2': 'UserAccountPermissions'}, {'3': 'RestoreUserAccountAccess'}, {'4': 'RestoreAccess'}]
p211;[{'1': 'AccessModeling'}, {'2': 'UserAccountPermissions'}, {'3': 'RestoreUserAccountAccess'}, {'4': 'RestoreAccess'}]
p212;[{'1': 'AccessModeling'}, {'2': 'UserAccountPermissions'}, {'3': 'RestoreUserAccountAccess'}, {'4': 'RestoreAccess'}]
p213;[{'1': 'ConfigurationInventory'}, {'2': 'RestoreConfiguration'}, {'3': 'RestoreSoftware'}, {'4': 'RestoreObject'}]
p214;[{'1': 'UserBehaviorAnalysis'}, {'2': 'AccountLocking'}, {'3': 'CredentialEviction'}, {'4': 'CredentialRevoking'}]
p215;[{'1': 'EmailRemoval'}, {'2': 'EmailFiltering'}, {'3': 'MessageAnalysis'}, {'4': 'MessageHardening'}]
p216;[{'1': 'ProcessAnalysis'}, {'2': 'FileHashReputationAnalysis'}, {'3': 'FileHashing'}, {'4': 'FileAnalysis'}]
p217;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p218;[{'1': 'OperatingSystemMonitoring'}, {'2': 'PlatformMonitoring'}, {'3': 'ConfigurationInventory'}, {'4': 'RestoreConfiguration'}]
p21;[{'1': 'NetworkIsolation'}, {'2': 'InboundTrafficFiltering'}, {'3': 'OutboundTrafficFiltering'}, {'4': 'NetworkTrafficFiltering'}]
p220;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p221;[{'1': 'ConfigurationInventory'}, {'2': 'RestoreConfiguration'}, {'3': 'RestoreSoftware'}, {'4': 'RestoreObject'}]
p222;[{'1': 'NetworkVulnerabilityAssessment'}, {'2': 'SystemVulnerabilityAssessment'}, {'3': 'OperationalRiskAssessment'}, {'4': 'RestoreConfiguration'}]
p223;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p224;[{'1': 'AccessModeling'}, {'2': 'UserAccountPermissions'}, {'3': 'AccountLocking'}, {'4': 'RestoreUserAccountAccess'}]
p225;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p226;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p227;[{'1': 'DataInventory'}, {'2': 'DataExchangeMapping'}, {'3': 'ConfigurationInventory'}, {'4': 'RestoreConfiguration'}]
p228;[{'1': 'ConfigurationInventory'}, {'2': 'RestoreConfiguration'}, {'3': 'RestoreSoftware'}, {'4': 'RestoreObject'}]
p22;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p230;[{'1': 'ProcessAnalysis'}, {'2': 'FileHashReputationAnalysis'}, {'3': 'FileHashing'}, {'4': 'FileAnalysis'}]
p231;[{'1': 'ProcessAnalysis'}, {'2': 'FileHashReputationAnalysis'}, {'3': 'FileHashing'}, {'4': 'FileAnalysis'}]
p232;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p233;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p234;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p235;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p236;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p237;[{'1': 'AuthenticationEventThresholding'}, {'2': 'AccountLocking'}, {'3': 'CredentialEviction'}, {'4': 'CredentialRevoking'}]
p238;[{'1': 'ConfigurationInventory'}, {'2': 'RestoreConfiguration'}, {'3': 'RestoreSoftware'}, {'4': 'RestoreObject'}]
p23;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p240;[{'1': 'ConfigurationInventory'}, {'2': 'RestoreConfiguration'}, {'3': 'RestoreSoftware'}, {'4': 'RestoreObject'}]
p241;[{'1': 'AuthenticationEventThresholding'}, {'2': 'AccountLocking'}, {'3': 'CredentialEviction'}, {'4': 'CredentialRevoking'}]
p242;[{'1': 'NetworkVulnerabilityAssessment'}, {'2': 'SystemVulnerabilityAssessment'}, {'3': 'OperationalRiskAssessment'}, {'4': 'RestoreConfiguration'}]
p243;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p244;[{'1': 'OperatingSystemMonitoring'}, {'2': 'PlatformMonitoring'}, {'3': 'ConfigurationInventory'}, {'4': 'RestoreConfiguration'}]
p245;[{'1': 'ProcessAnalysis'}, {'2': 'FileHashReputationAnalysis'}, {'3': 'FileHashing'}, {'4': 'FileAnalysis'}]
p246;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p247;[{'1': 'AccessModeling'}, {'2': 'UserAccountPermissions'}, {'3': 'AccountLocking'}, {'4': 'RestoreUserAccountAccess'}]
p248;[{'1': 'AccessModeling'}, {'2': 'UserAccountPermissions'}, {'3': 'AccountLocking'}, {'4': 'RestoreUserAccountAccess'}]
p24;[{'1': 'NetworkIsolation'}, {'2': 'InboundTrafficFiltering'}, {'3': 'OutboundTrafficFiltering'}, {'4': 'NetworkTrafficFiltering'}]
p250;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p251;[{'1': 'AccessModeling'}, {'2': 'UserAccountPermissions'}, {'3': 'AccountLocking'}, {'4': 'RestoreUserAccountAccess'}]
p252;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierActivityAnalysis'}]
p253;[{'1': 'ConfigurationInventory'}, {'2': 'RestoreConfiguration'}, {'3': 'RestoreSoftware'}, {'4': 'RestoreObject'}]
p254;[{'1': 'RestoreDiskImage'}, {'2': 'RestoreConfiguration'}, {'3': 'RestoreSoftware'}, {'4': 'RestoreObject'}]
p255;[{'1': 'NetworkVulnerabilityAssessment'}, {'2': 'SystemVulnerabilityAssessment'}, {'3': 'OperationalRiskAssessment'}, {'4': 'RestoreConfiguration'}]
p256;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p257;[{'1': 'NetworkVulnerabilityAssessment'}, {'2': 'SystemVulnerabilityAssessment'}, {'3': 'OperationalRiskAssessment'}, {'4': 'RestoreConfiguration'}]
p258;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p25;[{'1': 'NetworkIsolation'}, {'2': 'InboundTrafficFiltering'}, {'3': 'OutboundTrafficFiltering'}, {'4': 'NetworkTrafficFiltering'}]
p260;[{'1': 'ProcessAnalysis'}, {'2': 'FileHashReputationAnalysis'}, {'3': 'FileHashing'}, {'4': 'FileAnalysis'}]
p261;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p262;[{'1': 'ConfigurationInventory'}, {'2': 'RestoreConfiguration'}, {'3': 'RestoreSoftware'}, {'4': 'RestoreObject'}]
p263;[{'1': 'EmailRemoval'}, {'2': 'EmailFiltering'}, {'3': 'MessageAnalysis'}, {'4': 'MessageHardening'}]
p264;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p265;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p266;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p267;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p268;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p26;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p270;[{'1': 'IdentifierActivityAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'OperationalRiskAssessment'}]
p271;[]
p272;[{'1': 'URLAnalysis'}, {'2': 'URLReputationAnalysis'}, {'3': 'FileAnalysis'}, {'4': 'FileContentAnalysis'}]
p273;[{'1': 'AccountLocking'}, {'2': 'CredentialRevoking'}, {'3': 'CredentialEviction'}, {'4': 'AccessModeling'}]
p274;[{'1': 'EmailRemoval'}, {'2': 'EmailFiltering'}, {'3': 'FileEviction'}, {'4': 'FileRemoval'}]
p275;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'ConfigurationInventory'}, {'3': 'OperationalRiskAssessment'}, {'4': 'SystemVulnerabilityAssessment'}]
p276;[{'1': 'IPReputationAnalysis'}, {'2': 'NetworkTrafficAnalysis'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'NetworkVulnerabilityAssessment'}]
p277;[{'1': 'AdministrativeNetworkActivityAnalysis'}, {'2': 'AuthenticationEventThresholding'}, {'3': 'AuthorizationEventThresholding'}, {'4': 'UserBehaviorAnalysis'}]
p278;[{'1': 'MessageAnalysis'}, {'2': 'MessageAuthentication'}, {'3': 'MessageHardening'}, {'4': 'UserBehaviorAnalysis'}]
p27;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p280;[{'1': 'MessageAuthentication'}, {'2': 'MessageHardening'}, {'3': 'SenderReputationAnalysis'}, {'4': 'TransferAgentAuthentication'}]
p281;[{'1': 'DynamicAnalysis'}, {'2': 'FileAnalysis'}, {'3': 'FileContentAnalysis'}, {'4': 'FileHashing'}]
p282;[]
p283;[]
p284;[]
p285;[]
p286;[]
p287;[{'1': 'ConfigurationInventory'}, {'2': 'OperationalActivityMapping'}, {'3': 'OperationalDependencyMapping'}, {'4': 'SystemDependencyMapping'}]
p288;[]
p28;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p290;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'IPReputationAnalysis'}]
p291;[]
p292;[]
p293;[{'1': 'FileAnalysis'}, {'2': 'FileContentAnalysis'}, {'3': 'FileContentRules'}, {'4': 'FileHashing'}]
p294;[{'1': 'FileAnalysis'}, {'2': 'FileContentAnalysis'}, {'3': 'FileContentRules'}, {'4': 'FileHashing'}]
p295;[]
p296;[]
p297;[]
p29;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p2;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'AssetInventory'}, {'3': 'ConfigurationInventory'}, {'4': 'SoftwareInventory'}]
p300;[]
p301;[]
p302;[]
p303;[]
p304;[]
p305;[]
p306;[{'1': 'ConfigurationInventory'}, {'2': 'OperationalActivityMapping'}, {'3': 'OperationalDependencyMapping'}, {'4': 'SystemDependencyMapping'}]
p307;[{'1': 'NetworkTrafficAnalysis'}, {'2': 'NetworkTrafficFiltering'}, {'3': 'NetworkVulnerabilityAssessment'}, {'4': 'IPReputationAnalysis'}]
p308;[]
p30;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p310;[]
p311;[{'1': 'DomainNameReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'URLReputationAnalysis'}, {'4': 'IPReputationAnalysis'}]
p312;[]
p313;[]
p314;[]
p315;[]
p316;[]
p317;[]
p318;[]
p31;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p320;[]
p321;[{'1': 'FileHashing'}, {'2': 'FileHashReputationAnalysis'}, {'3': 'FileAnalysis'}, {'4': 'FileContentAnalysis'}]
p322;[]
p323;[]
p324;[{'1': 'ConfigurationInventory'}, {'2': 'OperationalActivityMapping'}, {'3': 'OperationalDependencyMapping'}, {'4': 'SystemDependencyMapping'}]
p325;[]
p326;[]
p327;[]
p328;[]
p32;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p330;[]
p331;[]
p332;[]
p333;[]
p334;[]
p335;[]
p336;[]
p337;[]
p338;[]
p33;[{'1': 'InboundTrafficFiltering'}, {'2': 'ExecutableDenylisting'}, {'3': 'NetworkTrafficFiltering'}, {'4': 'OutboundTrafficFiltering'}]
p340;[]
p341;[]
p342;[]
p343;[]
p344;[]
p345;[]
p346;[]
p347;[]
p348;[]
p34;[{'1': 'AccountLocking'}, {'2': 'UnlockAccount'}, {'3': 'RestoreUserAccountAccess'}, {'4': 'UserAccountPermissions'}]
p350;[]
p351;[]
p352;[]
p353;[]
p354;[]
p355;[]
p356;[]
p357;[]
p358;[]
p35;[{'1': 'AccountLocking'}, {'2': 'UnlockAccount'}, {'3': 'RestoreUserAccountAccess'}, {'4': 'UserAccountPermissions'}]
p360;[{'1': 'URLAnalysis'}, {'2': 'URLReputationAnalysis'}, {'3': 'FileAnalysis'}, {'4': 'FileContentAnalysis'}]
p361;[{'1': 'ExecutableDenylisting'}, {'2': 'FileHashing'}, {'3': 'FileHashReputationAnalysis'}, {'4': 'FileRemoval'}]
p362;[{'1': 'AssetVulnerabilityEnumeration'}, {'2': 'NetworkVulnerabilityAssessment'}, {'3': 'SystemVulnerabilityAssessment'}, {'4': 'OperationalRiskAssessment'}]
p363;[{'1': 'IdentifierAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'URLAnalysis'}, {'4': 'URLReputationAnalysis'}]
p364;[{'1': 'FileHashing'}, {'2': 'FileHashReputationAnalysis'}, {'3': 'FileAnalysis'}, {'4': 'IdentifierReputationAnalysis'}]
p365;[{'1': 'UserGeolocationLogonPatternAnalysis'}, {'2': 'IdentifierAnalysis'}, {'3': 'IdentifierReputationAnalysis'}, {'4': 'IPReputationAnalysis'}]
p366;[{'1': 'IdentifierAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'URLAnalysis'}, {'4': 'URLReputationAnalysis'}]
p367;[{'1': 'IdentifierAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IPReputationAnalysis'}, {'4': 'NetworkTrafficFiltering'}]
p368;[{'1': 'IdentifierAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'URLAnalysis'}, {'4': 'URLReputationAnalysis'}]
p36;[{'1': 'IPReputationAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'IdentifierActivityAnalysis'}, {'4': 'IdentifierAnalysis'}]
p370;[{'1': 'CertificateAnalysis'}, {'2': 'ActiveCertificateAnalysis'}, {'3': 'PassiveCertificateAnalysis'}, {'4': 'CertificatePinning'}]
p371;[{'1': 'AssetInventory'}, {'2': 'ConfigurationInventory'}, {'3': 'NetworkNodeInventory'}, {'4': 'SoftwareInventory'}]
p372;[{'1': 'EmailFiltering'}, {'2': 'EmailRemoval'}, {'3': 'SenderReputationAnalysis'}, {'4': 'URLAnalysis'}]
p373;[{'1': 'ConfigurationInventory'}, {'2': 'DataInventory'}, {'3': 'OperationalActivityMapping'}, {'4': 'OperationalDependencyMapping'}]
p374;[{'1': 'URLAnalysis'}, {'2': 'URLReputationAnalysis'}, {'3': 'IdentifierAnalysis'}, {'4': 'IdentifierReputationAnalysis'}]
p375;[{'1': 'IdentifierAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'URLAnalysis'}, {'4': 'URLReputationAnalysis'}]
p376;[{'1': 'IdentifierAnalysis'}, {'2': 'IdentifierReputationAnalysis'}, {'3': 'URLAnalysis'}, {'4': 'URLReputationAnalysis'}]
